Plate,Experiment Title,Treatment,Well,Label,Count,Area Average (um^2),Total area,,TA ave,,TA prop,TA prop,Count ave,,count prop,count prop,AA ave,,AA ave,AA ave
3,mock,DMSO,16,B04,233,4777.928711,1113257.39,,1015273.896,1015273.896,1.096509418,1.096509418,211,211,1.104265403,1.104265403,4830.509766,4830.509766,0.989114802,0.989114802
3,mock,DMSO,28,C04,221,4614.995117,1019913.921,,,1015273.896,1.004570219,1.004570219,,211,1.047393365,1.047393365,,4830.509766,0.955384699,0.955384699
3,mock,DMSO,40,D04,179,5098.605469,912650.3789,,,1015273.896,0.898920362,0.898920362,,211,0.848341232,0.848341232,,4830.509766,1.055500499,1.055500499
3,mock,0.5nM,17,B05,256,4704.851074,1204441.875,,,1015273.896,1.186322114,1.186322114,,211,1.213270142,1.213270142,,4830.509766,0.973986453,0.973986453
3,mock,0.5nM,29,C05,239,4923.708496,1176766.331,,,1015273.896,1.159062923,1.159062923,,211,1.132701422,1.132701422,,4830.509766,1.019293767,1.019293767
3,mock,0.5nM,41,D05,209,5638.95752,1178542.122,,,1015273.896,1.160811999,1.160811999,,211,0.990521327,0.990521327,,4830.509766,1.167362824,1.167362824
3,mock,1nM,19,B07,265,3677.122559,974437.478,,,1015273.896,0.959777929,0.959777929,,211,1.255924171,1.255924171,,4830.509766,0.761228677,0.761228677
3,mock,1nM,31,C07,271,3417.690918,926194.2388,,,1015273.896,0.912260467,0.912260467,,211,1.28436019,1.28436019,,4830.509766,0.70752179,0.70752179
3,mock,1nM,43,D07,261,3322.249268,867107.0588,,,1015273.896,0.854062201,0.854062201,,211,1.236966825,1.236966825,,4830.509766,0.6877637,0.6877637
3,mock,5nM,20,B08,163,2741.336426,446837.8374,,,1015273.896,0.440115558,0.440115558,,211,0.772511848,0.772511848,,4830.509766,0.567504582,0.567504582
3,mock,5nM,32,C08,125,2243.884766,280485.5957,,,1015273.896,0.276265938,0.276265938,,211,0.592417062,0.592417062,,4830.509766,0.464523389,0.464523389
3,mock,5nM,44,D08,167,2590.207031,432564.5742,,,1015273.896,0.426057023,0.426057023,,211,0.791469194,0.791469194,,4830.509766,0.536218154,0.536218154
3,mock,10nM,21,B09,62,2578.406006,159861.1724,,,1015273.896,0.157456203,0.157456203,,211,0.293838863,0.293838863,,4830.509766,0.533775136,0.533775136
3,mock,10nM,33,C09,64,2403.310303,153811.8594,,,1015273.896,0.151497896,0.151497896,,211,0.303317536,0.303317536,,4830.509766,0.497527263,0.497527263
3,mock,10nM,45,D09,49,2077.425293,101793.8394,,,1015273.896,0.100262441,0.100262441,,211,0.232227488,0.232227488,,4830.509766,0.430063367,0.430063367
3,mock,100nM,22,B10,16,1971.696045,31547.13672,,,1015273.896,0.031072538,0.031072538,,211,0.075829384,0.075829384,,4830.509766,0.408175563,0.408175563
3,mock,100nM,34,C10,12,2711.22876,32534.74512,,,1015273.896,0.032045289,0.032045289,,211,0.056872038,0.056872038,,4830.509766,0.561271769,0.561271769
