Plate,cell line,Treatment,Well,Label,Count,Area Average (um^2),total area,,TA ave,,TA prop,TA prop,Count ave,,count prop,count prop,AA ave,,AA ave,
1,mock,PBS,15,B03,252,4836.894043,1218897.299,,1221209.576,1221209.576,0.998106568,0.998106568,240,240,1.05,1.05,5084.864746,5084.864746,0.95123357,0.95123357
1,mock,PBS,27,C03,247,5477.680176,1352987.003,,,1221209.576,1.1079073,1.1079073,,240,1.029166667,1.029166667,,5084.864746,1.077251893,1.077251893
1,mock,PBS,39,D03,221,4940.02002,1091744.424,,,1221209.576,0.893986132,0.893986132,,240,0.920833333,0.920833333,,5084.864746,0.971514537,0.971514537
1,mock,10nM,16,B04,151,2359.505127,356285.2742,,,1221209.576,0.291747855,0.291747855,,240,0.629166667,0.629166667,,5084.864746,0.46402515,0.46402515
1,mock,10nM,28,C04,124,4380.055176,543126.8418,,,1221209.576,0.444744991,0.444744991,,240,0.516666667,0.516666667,,5084.864746,0.861390695,0.861390695
1,mock,10nM,40,D04,132,2716.756592,358611.8701,,,1221209.576,0.293653012,0.293653012,,240,0.55,0.55,,5084.864746,0.534282961,0.534282961
1,mock,100nM,17,B05,74,2287.122803,169247.0874,,,1221209.576,0.138589715,0.138589715,,240,0.308333333,0.308333333,,5084.864746,0.449790293,0.449790293
1,mock,100nM,29,C05,113,2305.269287,260495.4294,,,1221209.576,0.213309357,0.213309357,,240,0.470833333,0.470833333,,5084.864746,0.453359018,0.453359018
1,mock,100nM,41,D05,138,2556.264893,352764.5552,,,1221209.576,0.288864878,0.288864878,,240,0.575,0.575,,5084.864746,0.502720332,0.502720332
1,mock,1000nM,18,B06,107,2378.523193,254501.9817,,,1221209.576,0.208401561,0.208401561,,240,0.445833333,0.445833333,,5084.864746,0.467765282,0.467765282
1,mock,1000nM,30,C06,101,2367.326416,239099.968,,,1221209.576,0.195789464,0.195789464,,240,0.420833333,0.420833333,,5084.864746,0.465563301,0.465563301
1,mock,1000nM,42,D06,159,3688.305176,586440.5229,,,1221209.576,0.480212844,0.480212844,,240,0.6625,0.6625,,5084.864746,0.725349711,0.725349711
1,EGFR,PBS,51,E03,265,5776.767578,1530843.408,,1733102.956,1733102.956,0.883296288,0.883296288,275.6666667,275.6666667,0.961305925,0.961305925,6275.705892,6275.705892,0.920496862,0.920496862
1,EGFR,PBS,63,F03,288,6619.252441,1906344.703,,,1733102.956,1.099960447,1.099960447,,275.6666667,1.044740024,1.044740024,,6275.705892,1.054742296,1.054742296
1,EGFR,PBS,75,G03,274,6431.097656,1762120.758,,,1733102.956,1.016743265,1.016743265,,275.6666667,0.993954051,0.993954051,,6275.705892,1.024760842,1.024760842
1,EGFR,10nM,52,E04,258,2919.215088,753157.4927,,,1733102.956,0.434571697,0.434571697,,275.6666667,0.935912938,0.935912938,,6275.705892,0.465161233,0.465161233
1,EGFR,10nM,64,F04,283,3396.410889,961184.2815,,,1733102.956,0.554603105,0.554603105,,275.6666667,1.026602177,1.026602177,,6275.705892,0.541199818,0.541199818
1,EGFR,10nM,76,G04,279,3167.459473,883721.1929,,,1733102.956,0.509906921,0.509906921,,275.6666667,1.012091898,1.012091898,,6275.705892,0.504717641,0.504717641
1,EGFR,100nM,53,E05,219,3024.651123,662398.5959,,,1733102.956,0.382203835,0.382203835,,275.6666667,0.794437727,0.794437727,,6275.705892,0.481961898,0.481961898
1,EGFR,100nM,65,F05,258,3410.342285,879868.3096,,,1733102.956,0.507683809,0.507683809,,275.6666667,0.935912938,0.935912938,,6275.705892,0.543419711,0.543419711
1,EGFR,100nM,77,G05,266,3314.57251,881676.2876,,,1733102.956,0.508727011,0.508727011,,275.6666667,0.964933495,0.964933495,,6275.705892,0.528159313,0.528159313
1,EGFR,1000nM,54,E06,273,3293.132568,899025.1912,,,1733102.956,0.518737325,0.518737325,,275.6666667,0.990326481,0.990326481,,6275.705892,0.524742973,0.524742973
1,EGFR,1000nM,66,F06,342,4613.842285,1577934.062,,,1733102.956,0.910467584,0.910467584,,275.6666667,1.240628779,1.240628779,,6275.705892,0.735190967,0.735190967
1,EGFR,1000nM,78,G06,248,3046.34082,755492.5234,,,1733102.956,0.435919009,0.435919009,,275.6666667,0.899637243,0.899637243,,6275.705892,0.485418035,0.485418035
1,HRAS,PBS,19,B07,387,10443.09082,4041476.147,,4009632.694,4009632.694,1.007941738,1.007941738,403.6666667,403.6666667,0.958711808,0.958711808,9934.383138,9934.383138,1.051206771,1.051206771
1,HRAS,PBS,31,C07,397,9310.769531,3696375.504,,,4009632.694,0.921873844,0.921873844,,403.6666667,0.983484723,0.983484723,,9934.383138,0.937226741,0.937226741
1,HRAS,PBS,43,D07,427,10049.28906,4291046.43,,,4009632.694,1.070184418,1.070184418,,403.6666667,1.057803468,1.057803468,,9934.383138,1.011566488,1.011566488
1,HRAS,10nM,20,B08,489,5263.009766,2573611.775,,,4009632.694,0.64185724,0.64185724,,403.6666667,1.211395541,1.211395541,,9934.383138,0.529777208,0.529777208
1,HRAS,10nM,32,C08,460,5556.401367,2555944.629,,,4009632.694,0.637451065,0.637451065,,403.6666667,1.139554088,1.139554088,,9934.383138,0.559310154,0.559310154
1,HRAS,10nM,44,D08,467,6151.648438,2872819.82,,,4009632.694,0.716479548,0.716479548,,403.6666667,1.156895128,1.156895128,,9934.383138,0.619228024,0.619228024
1,HRAS,100nM,21,B09,467,4163.534668,1944370.69,,,4009632.694,0.484924889,0.484924889,,403.6666667,1.156895128,1.156895128,,9934.383138,0.419103492,0.419103492
1,HRAS,100nM,33,C09,525,5696.837891,2990839.893,,,4009632.694,0.745913684,0.745913684,,403.6666667,1.300578035,1.300578035,,9934.383138,0.573446565,0.573446565
1,HRAS,100nM,45,D09,437,5131.799316,2242596.301,,,4009632.694,0.559302179,0.559302179,,403.6666667,1.082576383,1.082576383,,9934.383138,0.516569499,0.516569499
1,HRAS,1000nM,22,B10,469,4422.76416,2074276.391,,,4009632.694,0.517323294,0.517323294,,403.6666667,1.161849711,1.161849711,,9934.383138,0.445197663,0.445197663
1,HRAS,1000nM,34,C10,445,4833.161133,2150756.704,,,4009632.694,0.536397438,0.536397438,,403.6666667,1.102394715,1.102394715,,9934.383138,0.486508429,0.486508429
1,HRAS,1000nM,46,D10,412,4919.501465,2026834.604,,,4009632.694,0.50549134,0.50549134,,403.6666667,1.020644096,1.020644096,,9934.383138,0.49519949,0.49519949
1,PI3K,PBS,55,E07,238,7890.869629,1878026.972,,1862830.754,1862830.754,1.008157594,1.008157594,234,234,1.017094017,1.017094017,7966.534993,7966.534993,0.990502099,0.990502099
1,PI3K,PBS,67,F07,250,7905.442383,1976360.596,,,1862830.754,1.060944797,1.060944797,,234,1.068376068,1.068376068,,7966.534993,0.992331345,0.992331345
1,PI3K,PBS,79,G07,214,8103.292969,1734104.695,,,1862830.754,0.930897609,0.930897609,,234,0.914529915,0.914529915,,7966.534993,1.017166557,1.017166557
1,PI3K,10nM,56,E08,409,4733.935547,1936179.639,,,1862830.754,1.039374959,1.039374959,,234,1.747863248,1.747863248,,7966.534993,0.594227672,0.594227672
1,PI3K,10nM,68,F08,327,3697.768555,1209170.317,,,1862830.754,0.649103691,0.649103691,,234,1.397435897,1.397435897,,7966.534993,0.46416272,0.46416272
1,PI3K,10nM,80,G08,321,3400.791504,1091654.073,,,1862830.754,0.586018923,0.586018923,,234,1.371794872,1.371794872,,7966.534993,0.42688465,0.42688465
1,PI3K,100nM,57,E09,344,3673.192627,1263578.264,,,1862830.754,0.678310824,0.678310824,,234,1.47008547,1.47008547,,7966.534993,0.461077825,0.461077825
1,PI3K,100nM,69,F09,360,4230.598633,1523015.508,,,1862830.754,0.817581256,0.817581256,,234,1.538461538,1.538461538,,7966.534993,0.531046262,0.531046262
1,PI3K,100nM,81,G09,337,3780.303467,1273962.268,,,1862830.754,0.683885138,0.683885138,,234,1.44017094,1.44017094,,7966.534993,0.474522922,0.474522922
1,PI3K,1000nM,58,E10,265,3051.837646,808736.9763,,,1862830.754,0.434144097,0.434144097,,234,1.132478632,1.132478632,,7966.534993,0.383082187,0.383082187
1,PI3K,1000nM,70,F10,280,2937.812012,822587.3633,,,1862830.754,0.441579226,0.441579226,,234,1.196581197,1.196581197,,7966.534993,0.368769109,0.368769109
1,PI3K,1000nM,82,G10,257,3069.273682,788803.3362,,,1862830.754,0.423443372,0.423443372,,234,1.098290598,1.098290598,,7966.534993,0.385270847,0.385270847
