Plate,Experiment Title,Treatment,Well,Label,Count,Area Average (um^2),Total area,,TA ave,,TA prop,TA prop,Count ave,,count prop,count prop,AA ave,,AA ave,AA ave
2,mock,DMSO,15,B03,255,4970.713379,1267531.912,,1237714.694,1237714.694,1.024090542,1.024090542,247,247,1.032388664,1.032388664,5011.257975,5011.257975,0.991909298,0.991909298
2,mock,DMSO,27,C03,252,5047.555664,1271984.027,,,1237714.694,1.027687587,1.027687587,,247,1.020242915,1.020242915,,5011.257975,1.007243229,1.007243229
2,mock,DMSO,39,D03,234,5015.504883,1173628.143,,,1237714.694,0.948221871,0.948221871,,247,0.947368421,0.947368421,,5011.257975,1.000847473,1.000847473
2,mock,10nM,16,B04,357,3440.717529,1228336.158,,,1237714.694,0.9924227,0.9924227,,247,1.44534413,1.44534413,,5011.257975,0.686597566,0.686597566
2,mock,10nM,28,C04,276,3020.414795,833634.4834,,,1237714.694,0.673527177,0.673527177,,247,1.117408907,1.117408907,,5011.257975,0.602725864,0.602725864
2,mock,10nM,40,D04,321,2975.352539,955088.165,,,1237714.694,0.771654542,0.771654542,,247,1.299595142,1.299595142,,5011.257975,0.59373366,0.59373366
2,mock,100nM,17,B05,112,2203.776855,246823.0078,,,1237714.694,0.199418339,0.199418339,,247,0.453441296,0.453441296,,5011.257975,0.439765198,0.439765198
2,mock,100nM,29,C05,84,2195.297607,184404.999,,,1237714.694,0.148988293,0.148988293,,247,0.340080972,0.340080972,,5011.257975,0.438073158,0.438073158
2,mock,100nM,41,D05,114,2420.608154,275949.3296,,,1237714.694,0.222950678,0.222950678,,247,0.461538462,0.461538462,,5011.257975,0.483034034,0.483034034
2,mock,1000nM,18,B06,16,3791.955322,60671.28516,,,1237714.694,0.049018797,0.049018797,,247,0.064777328,0.064777328,,5011.257975,0.756687311,0.756687311
2,mock,1000nM,30,C06,15,1668.854126,25032.81189,,,1237714.694,0.020225026,0.020225026,,247,0.060728745,0.060728745,,5011.257975,0.333020997,0.333020997
2,mock,1000nM,42,D06,23,2188.925537,50345.28735,,,1237714.694,0.040676004,0.040676004,,247,0.093117409,0.093117409,,5011.257975,0.436801607,0.436801607
2,EGFR,DMSO,51,E03,299,6436.360352,1924471.745,,1976623.617,1976623.617,0.973615679,0.973615679,301.6666667,301.6666667,0.991160221,0.991160221,6550.294759,6550.294759,0.982606217,0.982606217
2,EGFR,DMSO,63,F03,299,6432.467285,1923307.718,,,1976623.617,0.973026782,0.973026782,,301.6666667,0.991160221,0.991160221,,6550.294759,0.982011882,0.982011882
2,EGFR,DMSO,75,G03,307,6782.056641,2082091.389,,,1976623.617,1.053357539,1.053357539,,301.6666667,1.017679558,1.017679558,,6550.294759,1.035381901,1.035381901
2,EGFR,10nM,52,E04,412,5168.53125,2129434.875,,,1976623.617,1.077309234,1.077309234,,301.6666667,1.365745856,1.365745856,,6550.294759,0.789053232,0.789053232
2,EGFR,10nM,64,F04,356,5159.439453,1836760.445,,,1976623.617,0.929241374,0.929241374,,301.6666667,1.180110497,1.180110497,,6550.294759,0.787665234,0.787665234
2,EGFR,10nM,76,G04,362,4726.165527,1710871.921,,,1976623.617,0.865552706,0.865552706,,301.6666667,1.2,1.2,,6550.294759,0.72151952,0.72151952
2,EGFR,100nM,53,E05,249,3012.368652,750079.7944,,,1976623.617,0.379475277,0.379475277,,301.6666667,0.825414365,0.825414365,,6550.294759,0.459882916,0.459882916
2,EGFR,100nM,65,F05,247,2951.796143,729093.6472,,,1976623.617,0.368858108,0.368858108,,301.6666667,0.81878453,0.81878453,,6550.294759,0.45063562,0.45063562
2,EGFR,100nM,77,G05,267,3055.983643,815947.6326,,,1976623.617,0.412798686,0.412798686,,301.6666667,0.885082873,0.885082873,,6550.294759,0.466541393,0.466541393
2,EGFR,1000nM,54,E06,230,6286.242188,1445835.703,,,1976623.617,0.731467382,0.731467382,,301.6666667,0.762430939,0.762430939,,6550.294759,0.959688444,0.959688444
2,EGFR,1000nM,66,F06,164,3875.940186,635654.1904,,,1976623.617,0.321585852,0.321585852,,301.6666667,0.543646409,0.543646409,,6550.294759,0.591719965,0.591719965
2,EGFR,1000nM,78,G06,113,2561.899902,289494.689,,,1976623.617,0.146459187,0.146459187,,301.6666667,0.374585635,0.374585635,,6550.294759,0.391112155,0.391112155
2,HRAS,DMSO,19,B07,366,10782.93652,3946554.768,,3919223.654,3919223.654,1.006973604,1.006973604,360.3333333,360.3333333,1.015726179,1.015726179,10862.94857,10862.94857,0.992634408,0.992634408
2,HRAS,DMSO,31,C07,379,11263.50488,4268868.351,,,3919223.654,1.089212744,1.089212744,,360.3333333,1.051803885,1.051803885,,10862.94857,1.036873627,1.036873627
2,HRAS,DMSO,43,D07,336,10542.4043,3542247.844,,,3919223.654,0.903813652,0.903813652,,360.3333333,0.932469935,0.932469935,,10862.94857,0.970491965,0.970491965
2,HRAS,10nM,20,B08,331,10440.8623,3455925.423,,,3919223.654,0.881788264,0.881788264,,360.3333333,0.918593895,0.918593895,,10862.94857,0.961144411,0.961144411
2,HRAS,10nM,32,C08,398,10948.83203,4357635.148,,,3919223.654,1.111861821,1.111861821,,360.3333333,1.10453284,1.10453284,,10862.94857,1.007906091,1.007906091
2,HRAS,10nM,44,D08,374,9916.347656,3708714.023,,,3919223.654,0.946287926,0.946287926,,360.3333333,1.037927845,1.037927845,,10862.94857,0.912859671,0.912859671
2,HRAS,100nM,21,B09,419,4607.727051,1930637.634,,,3919223.654,0.49260716,0.49260716,,360.3333333,1.162812211,1.162812211,,10862.94857,0.424169094,0.424169094
2,HRAS,100nM,33,C09,524,6660.730957,3490223.021,,,3919223.654,0.890539385,0.890539385,,360.3333333,1.454209066,1.454209066,,10862.94857,0.613160498,0.613160498
2,HRAS,100nM,45,D09,525,6275.344238,3294555.725,,,3919223.654,0.840614371,0.840614371,,360.3333333,1.456984274,1.456984274,,10862.94857,0.577683324,0.577683324
2,HRAS,1000nM,22,B10,146,2645.111572,386186.2896,,,3919223.654,0.098536425,0.098536425,,360.3333333,0.405180389,0.405180389,,10862.94857,0.24349849,0.24349849
2,HRAS,1000nM,34,C10,131,3009.042969,394184.6289,,,3919223.654,0.100577222,0.100577222,,360.3333333,0.363552266,0.363552266,,10862.94857,0.277000572,0.277000572
2,HRAS,1000nM,46,D10,131,2535.082275,332095.7781,,,3919223.654,0.084735092,0.084735092,,360.3333333,0.363552266,0.363552266,,10862.94857,0.233369629,0.233369629
2,PI3K,DMSO,55,E07,225,9466.65625,2129997.656,,2074335.229,2074335.229,1.026833863,1.026833863,235.3333333,235.3333333,0.956090652,0.956090652,8845.719727,8845.719727,1.070196269,1.070196269
2,PI3K,DMSO,67,F07,251,7942.493164,1993565.784,,,2074335.229,0.961062492,0.961062492,,235.3333333,1.066572238,1.066572238,,8845.719727,0.897891117,0.897891117
2,PI3K,DMSO,79,G07,230,9128.009766,2099442.246,,,2074335.229,1.012103645,1.012103645,,235.3333333,0.97733711,0.97733711,,8845.719727,1.031912614,1.031912614
2,PI3K,10nM,56,E08,296,5943.848145,1759379.051,,,2074335.229,0.848165247,0.848165247,,235.3333333,1.257790368,1.257790368,,8845.719727,0.671946244,0.671946244
2,PI3K,10nM,68,F08,294,6297.211914,1851380.303,,,2074335.229,0.892517408,0.892517408,,235.3333333,1.249291785,1.249291785,,8845.719727,0.711893674,0.711893674
2,PI3K,10nM,80,G08,304,6147.483398,1868834.953,,,2074335.229,0.900931984,0.900931984,,235.3333333,1.291784703,1.291784703,,8845.719727,0.694967011,0.694967011
2,PI3K,100nM,57,E09,306,2945.632324,901363.4912,,,2074335.229,0.434531255,0.434531255,,235.3333333,1.300283286,1.300283286,,8845.719727,0.333000865,0.333000865
2,PI3K,100nM,69,F09,321,3197.80127,1026494.208,,,2074335.229,0.494854541,0.494854541,,235.3333333,1.364022663,1.364022663,,8845.719727,0.361508319,0.361508319
2,PI3K,100nM,81,G09,344,3298.236328,1134593.297,,,2074335.229,0.546967183,0.546967183,,235.3333333,1.461756374,1.461756374,,8845.719727,0.372862405,0.372862405
2,PI3K,1000nM,58,E10,125,2828.962891,353620.3613,,,2074335.229,0.170474066,0.170474066,,235.3333333,0.531161473,0.531161473,,8845.719727,0.3198115,0.3198115
2,PI3K,1000nM,70,F10,134,3548.85498,475546.5674,,,2074335.229,0.229252515,0.229252515,,235.3333333,0.569405099,0.569405099,,8845.719727,0.401194599,0.401194599
2,PI3K,1000nM,82,G10,157,2957.762695,464368.7432,,,2074335.229,0.223863885,0.223863885,,235.3333333,0.66713881,0.66713881,,8845.719727,0.334372192,0.334372192
