probe	gene
229819_at	A1BG
232462_s_at	A1BG-AS1
241547_at	A1CF
1558450_at	A2M
1564139_at	A2M-AS1
1564307_a_at	A2ML1
236394_at	A2MP1
219488_at	A4GALT
221131_at	A4GNT
241552_at	AA06
218075_at	AAAS
218434_s_at	AACS
1570020_at	AACSP1
205969_at	AADAC
240420_at	AADACL2
223593_at	AADAT
227534_at	AAED1
202851_at	AAGAB
225522_at	AAK1
221599_at	AAMDC
201511_at	AAMP
207225_at	AANAT
218089_at	AAR2
201000_at	AARS
231845_at	AARS2
228041_at	AASDH
202170_s_at	AASDHPPT
214829_at	AASS
209165_at	AATF
205986_at	AATK
209460_at	ABAT
203505_at	ABCA1
220159_at	ABCA11P
215465_at	ABCA12
1553605_a_at	ABCA13
231164_at	ABCA17P
210100_s_at	ABCA2
204343_at	ABCA3
1569102_at	ABCA4
213353_at	ABCA5
217504_at	ABCA6
219577_s_at	ABCA7
1565778_at	ABCA8
242541_at	ABCA9
209993_at	ABCB1
223320_s_at	ABCB10
208288_at	ABCB11
207819_s_at	ABCB4
1555371_at	ABCB5
203192_at	ABCB6
209620_s_at	ABCB7
229539_at	ABCB8
207321_s_at	ABCB9
202804_at	ABCC1
213485_s_at	ABCC10
224146_s_at	ABCC11
1552590_a_at	ABCC12
233371_at	ABCC13
206155_at	ABCC2
209641_s_at	ABCC3
243928_s_at	ABCC4
226363_at	ABCC5
214033_at	ABCC6
236205_at	ABCC6P1
210246_s_at	ABCC8
235578_at	ABCC9
205142_x_at	ABCD1
207583_at	ABCD2
1554878_a_at	ABCD3
203981_s_at	ABCD4
201872_s_at	ABCE1
200045_at	ABCF1
207622_s_at	ABCF2
202394_s_at	ABCF3
204567_s_at	ABCG1
209735_at	ABCG2
207593_at	ABCG4
220383_at	ABCG5
231751_at	ABCG8
1560117_at	ABHD1
218633_x_at	ABHD10
1552470_a_at	ABHD11
228124_at	ABHD12
234993_at	ABHD13
210006_at	ABHD14A
224821_at	ABHD14B
226796_at	ABHD15
230221_at	ABHD16A
234002_at	ABHD16B
221267_s_at	ABHD17A
227551_at	ABHD17B
225436_at	ABHD17C
228490_at	ABHD2
213017_at	ABHD3
218581_at	ABHD4
232862_at	ABHD5
221678_at	ABHD6
219101_x_at	ABHD8
1559890_a_at	ABI1
227631_at	ABI2
223615_at	ABI3
223395_at	ABI3BP
202123_s_at	ABL1
206411_s_at	ABL2
200965_s_at	ABLIM1
228132_at	ABLIM2
205730_s_at	ABLIM3
216929_x_at	ABO
214671_s_at	ABR
1552732_at	ABRA
223361_at	ABRACL
218405_at	ABT1
229164_s_at	ABTB1
213497_at	ABTB2
1561427_at	AC000099.1
1561550_at	AC002463.3
1560520_at	AC002480.2
1557644_at	AC003102.3
238953_at	AC003665.1
1557068_at	AC003958.2
1570224_at	AC005022.1
1563120_at	AC005042.4
1561554_at	AC005358.3
1564083_at	AC005592.1
1569780_at	AC006004.1
1562272_at	AC006372.4
1558595_at	AC007038.7
1570230_at	AC007099.1
1568812_at	AC007163.3
242835_s_at	AC007246.3
216664_at	AC007359.6
1562776_at	AC007365.1
1570006_at	AC007386.2
233249_at	AC007392.3
244372_at	AC007403.2
215627_at	AC007405.4
1561389_at	AC007461.2
232965_at	AC007773.2
1563044_at	AC007879.2
1559787_at	AC007880.1
1560288_at	AC007966.1
1561401_at	AC008703.1
233934_at	AC009264.1
236598_at	AC009299.3
1560506_at	AC010890.1
1569727_at	AC010987.6
1562632_at	AC011298.2
1563484_at	AC011343.1
1570013_at	AC011518.1
1562121_at	AC011609.3
1569659_at	AC011738.4
236719_at	AC011747.7
1570375_at	AC011899.9
237668_at	AC012075.2
1561559_at	AC012494.1
1562689_at	AC012507.3
1568690_a_at	AC016582.2
1568864_at	AC016629.8
1560538_at	AC016910.1
1557570_a_at	AC018470.4
229781_at	AC018647.3
1564459_at	AC018705.5
213690_s_at	AC018766.5
1563027_at	AC018799.1
232812_at	AC022007.5
1569961_at	AC024592.9
1562982_at	AC027269.2
1561795_at	AC068610.3
1560279_a_at	AC068858.1
1562116_at	AC073128.10
1562424_at	AC073133.1
1562604_at	AC073283.4
231540_at	AC074286.1
243699_at	AC074289.1
1570273_at	AC079117.1
1556536_at	AC079354.3
1560750_at	AC079586.1
240617_at	AC084125.4
1559715_at	AC090505.6
1553335_x_at	AC091878.1
237364_at	AC092295.7
1569681_at	AC093375.1
243355_at	AC093391.2
1562523_at	AC093590.1
233176_at	AC093627.10
1564149_at	AC093642.3
1561370_at	AC093690.1
237880_at	AC096559.1
1557879_at	AC097468.4
1557862_at	AC097662.2
233784_at	AC099342.1
237075_at	AC104653.1
237111_at	AC104654.1
1562463_at	AC104777.2
1563680_at	AC105053.3
1563878_a_at	AC105339.1
234861_at	AC105760.3
237343_at	AC107070.1
1561704_at	AC107622.1
1556670_at	AC109828.1
1562000_at	AC125421.1
214274_s_at	ACAA1
202003_s_at	ACAA2
212186_at	ACACA
49452_at	ACACB
238655_at	ACAD10
221669_s_at	ACAD8
224160_s_at	ACAD9
206069_s_at	ACADL
202502_at	ACADM
202366_at	ACADS
226030_at	ACADSB
200710_at	ACADVL
205679_x_at	ACAN
242081_at	ACAP1
1552472_a_at	ACAP2
225529_at	ACAP3
205412_at	ACAT1
209608_s_at	ACAT2
202323_s_at	ACBD3
219413_at	ACBD4
1568877_a_at	ACBD5
225317_at	ACBD6
228264_at	ACCS
204617_s_at	ACD
227463_at	ACE
219962_at	ACE2
1553929_at	ACER1
227776_at	ACER3
210332_at	ACHE
201715_s_at	ACIN1
206887_at	ACKR2
232746_at	ACKR3
220351_at	ACKR4
201128_s_at	ACLY
230602_at	ACMSD
218981_at	ACN9
207071_s_at	ACO1
200793_s_at	ACO2
1555321_at	ACOT11
238160_at	ACOT12
204565_at	ACOT13
229534_at	ACOT4
241949_at	ACOT6
215728_s_at	ACOT7
204212_at	ACOT8
221641_s_at	ACOT9
227962_at	ACOX1
205364_at	ACOX2
204241_at	ACOX3
240189_at	ACOXL
201629_s_at	ACP1
202767_at	ACP2
204638_at	ACP5
218795_at	ACP6
226925_at	ACPL2
204393_s_at	ACPP
241715_x_at	ACPT
207427_at	ACR
230833_at	ACRBP
238825_at	ACRC
207973_x_at	ACRV1
206466_at	ACSBG1
221716_s_at	ACSBG2
218844_at	ACSF2
1556552_a_at	ACSF3
207275_s_at	ACSL1
201661_s_at	ACSL3
1557418_at	ACSL4
218322_s_at	ACSL5
223918_at	ACSL6
215432_at	ACSM1
244723_at	ACSM2A
241915_at	ACSM2B
205942_s_at	ACSM3
89977_at	ACSM5
224882_at	ACSS1
234312_s_at	ACSS2
229222_at	ACSS3
203872_at	ACTA1
200974_at	ACTA2
1564257_at	ACTA2-AS1
213867_x_at	ACTB
205132_at	ACTC1
211995_x_at	ACTG1
241148_at	ACTG2
232619_at	ACTL10
202666_s_at	ACTL6A
206013_s_at	ACTL6B
220501_at	ACTL7A
220498_at	ACTL7B
214957_at	ACTL8
243208_x_at	ACTL9
208636_at	ACTN1
203864_s_at	ACTN2
206891_at	ACTN3
200601_at	ACTN4
222230_s_at	ACTR10
200721_s_at	ACTR1A
202135_s_at	ACTR1B
1554390_s_at	ACTR2
213101_s_at	ACTR3
1555487_a_at	ACTR3B
224425_x_at	ACTR3BP2
224424_x_at	ACTR3BP6
223874_at	ACTR3C
