sum_id,pert_id,pert_iname,perts_target,pert_type,pert_itime,pert_idose,mean_rankpt_2,mean_rankpt_4,mean_rankpt_6,is_expressed_4,is_expressed_6,rankpt_1,rankpt_2,rankpt_3,rankpt_4,rankpt_5,rankpt_6,rankpt_7,rankpt_8,rankpt_9,npos,nneg,ncell,nsig,norm_rankpt,norm_cs,cell_id,best4_index,best6_index,sig_id
BRD-K46419649,BRD-K46419649,U0126,MEK,trt_cp,24 h|6 h,10 åµM,99.9697,99.5935,98.3934,-666,-666,100,99.9393,99.359,99.0757,96.7836,95.2029,94.6188,0,-666,7,0,8,11,95.2|99.1|99.9|96.8|99.4|94.6|100|0,1.24|1.49|1.62|1.38|1.47|1.27|1.7|0,HA1E|HCC515|A375|A549|HEPG2|HT29|MCF7|PC3,7|3|5|2,7|3|5|2|4|1,CPC002_HA1E_24H:BRD-K46419649-001-01-8:10|CPC002_HA1E_6H:BRD-K46419649-001-01-8:10|CPC002_HCC515_24H:BRD-K46419649-001-01-8:10|CPC002_HCC515_6H:BRD-K46419649-001-01-8:10|CPC018_A375_6H:BRD-K46419649-001-01-8:10|CPC018_A549_6H:BRD-K46419649-001-01-8:10|CPC018_HEPG2_6H:BRD-K46419649-001-01-8:10|CPC018_HT29_6H:BRD-K46419649-001-01-8:10|CPC018_MCF7_24H:BRD-K46419649-001-01-8:10|CPC018_MCF7_6H:BRD-K46419649-001-01-8:10|CPC002_PC3_24H:BRD-K46419649-001-01-8:10
BRD-K41895714,BRD-K41895714,AS-605240,PI3K,trt_cp,24 h|6 h,1 åµM|10 åµM|100 nM,99.8505,99.1907,93.3859,-666,-666,100,99.701,99.1505,97.9114,88.6447,74.9077,24.1859,0,-46.1521,7,1,9,20,99.2|97.9|74.9|100|88.6|99.7|24.2|0|-46.2,1.47|1.41|0.89|1.72|1.11|1.52|0.32|0|-0.75,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,4|6|1|2,4|6|1|2|5|3,CPC006_A375_24H:BRD-K41895714-001-02-2:10|CPC006_A375_6H:BRD-K41895714-001-02-2:10|CPC006_A549_24H:BRD-K41895714-001-02-2:10|CPC006_A549_6H:BRD-K41895714-001-02-2:10|CPC006_HA1E_6H:BRD-K41895714-001-02-2:10|CPC006_HCC515_24H:BRD-K41895714-001-02-2:10|CPC006_HCC515_6H:BRD-K41895714-001-02-2:10|CPC006_HEPG2_6H:BRD-K41895714-001-02-2:10|CPC006_HT29_24H:BRD-K41895714-001-02-2:10|CPC006_MCF7_24H:BRD-K41895714-001-02-2:10|CPC006_MCF7_6H:BRD-K41895714-001-02-2:10|CPC006_PC3_24H:BRD-K41895714-001-02-2:10|CPC006_VCAP_24H:BRD-K41895714-001-02-2:10|CPC006_VCAP_6H:BRD-K41895714-001-02-2:10|LJP001_MCF7_24H:BRD-K41895714-001-03-0:10|LJP001_MCF7_24H:BRD-K41895714-001-03-0:2|CPC006_HA1E_24H:BRD-K41895714-001-02-2:10|CPC006_HT29_6H:BRD-K41895714-001-02-2:10|CPC006_PC3_6H:BRD-K41895714-001-02-2:10|LJP001_MCF7_6H:BRD-K41895714-001-03-0:0.08
BRD-K49865102,BRD-K49865102,PD-0325901,MEK,trt_cp,24 h|6 h,1 åµM|10 åµM|100 nM|500 nM,99.7868,99.053,98.4828,-666,-666,99.877,99.6966,98.5069,98.1315,97.5275,97.1571,96.4101,94.9666,83.6254,9,0,9,22,99.7|95|99.9|98.5|97.5|98.1|83.6|97.2|96.4,1.52|1.31|1.6|1.43|1.34|1.4|0.99|1.32|1.27,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,3|1|4|6,3|1|4|6|5|8,CPC013_A375_6H:BRD-K49865102-001-01-9:10|CPC013_A549_24H:BRD-K49865102-001-01-9:10|CPC013_A549_6H:BRD-K49865102-001-01-9:10|CPC013_HA1E_6H:BRD-K49865102-001-01-9:10|CPC013_HCC515_6H:BRD-K49865102-001-01-9:10|CPC013_HEPG2_6H:BRD-K49865102-001-01-9:10|CPC014_A375_6H:BRD-K49865102-001-02-7:10|CPC014_A549_24H:BRD-K49865102-001-02-7:10|CPC014_A549_6H:BRD-K49865102-001-02-7:10|CPC014_HA1E_6H:BRD-K49865102-001-02-7:10|CPC014_HCC515_6H:BRD-K49865102-001-02-7:10|CPC014_HEPG2_6H:BRD-K49865102-001-02-7:10|CPC014_HT29_6H:BRD-K49865102-001-02-7:10|CPC014_MCF7_24H:BRD-K49865102-001-02-7:10|LJP002_MCF7_24H:BRD-K49865102-001-04-3:0.4|LJP002_MCF7_6H:BRD-K49865102-001-04-3:10|LJP002_MCF7_6H:BRD-K49865102-001-04-3:2|LJP002_MCF7_6H:BRD-K49865102-001-04-3:0.4|LJP002_MCF7_6H:BRD-K49865102-001-04-3:0.08|CPC013_HT29_6H:BRD-K49865102-001-01-9:10|CPC013_PC3_6H:BRD-K49865102-001-01-9:10|CPC014_VCAP_24H:BRD-K49865102-001-02-7:10
BRD-K69932463,BRD-K69932463,AZD-8055,mTOR,trt_cp,24 h|6 h,1 åµM|10 åµM|100 nM|500 nM,99.2493,98.6838,95.6065,-666,-666,99.9253,98.5734,98.389,97.8475,89.8079,89.0958,87.2023,82.5092,82.3422,9,0,9,24,82.3|89.8|97.8|87.2|82.5|99.9|98.6|98.4|89.1,0.99|1.17|1.35|1.12|1.01|1.62|1.37|1.4|1.11,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,6|7|8|3,6|7|8|3|2|9,CPC006_A375_24H:BRD-K69932463-001-03-1:10|CPC006_A375_6H:BRD-K69932463-001-03-1:10|CPC006_A549_24H:BRD-K69932463-001-03-1:10|CPC006_A549_6H:BRD-K69932463-001-03-1:10|CPC006_HA1E_24H:BRD-K69932463-001-03-1:10|CPC006_HCC515_24H:BRD-K69932463-001-03-1:10|CPC006_HCC515_6H:BRD-K69932463-001-03-1:10|CPC006_HEPG2_6H:BRD-K69932463-001-03-1:10|CPC006_HT29_24H:BRD-K69932463-001-03-1:10|CPC006_HT29_6H:BRD-K69932463-001-03-1:10|CPC006_MCF7_24H:BRD-K69932463-001-03-1:10|CPC006_MCF7_6H:BRD-K69932463-001-03-1:10|CPC006_PC3_24H:BRD-K69932463-001-03-1:10|CPC006_PC3_6H:BRD-K69932463-001-03-1:10|CPC006_VCAP_24H:BRD-K69932463-001-03-1:10|CPC006_VCAP_6H:BRD-K69932463-001-03-1:10|LJP001_MCF7_24H:BRD-K69932463-001-05-6:10|LJP001_MCF7_24H:BRD-K69932463-001-05-6:0.4|LJP001_MCF7_24H:BRD-K69932463-001-05-6:0.08|LJP001_MCF7_6H:BRD-K69932463-001-05-6:2|LJP001_MCF7_6H:BRD-K69932463-001-05-6:0.4|LJP001_MCF7_6H:BRD-K69932463-001-05-6:10|CPC006_HA1E_6H:BRD-K69932463-001-03-1:10|LJP001_MCF7_6H:BRD-K69932463-001-05-6:0.08
BRD-K03618428,BRD-K03618428,PP-110,?????,trt_cp,24 h|6 h,1 åµM|10 nM|10 åµM|100 nM|20 åµM|3 åµM|500 nM,99.7221,98.1522,95.9632,-666,-666,99.8105,99.6337,97.5728,95.5919,93.8715,89.2989,85.114,84.5865,-39.7352,8,1,9,31,97.6|84.6|89.3|95.6|99.6|93.9|85.1|99.8|-39.7,1.36|1.09|1.1|1.29|1.51|1.25|1.01|1.6|-0.6,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,8|5|1|4,8|5|1|4|6|3,CPC006_A375_6H:BRD-K03618428-001-01-3:22.2|CPC006_A549_24H:BRD-K03618428-001-01-3:22.2|CPC006_HA1E_24H:BRD-K03618428-001-01-3:22.2|CPC006_HA1E_6H:BRD-K03618428-001-01-3:22.2|CPC006_HCC515_24H:BRD-K03618428-001-01-3:22.2|CPC006_HCC515_6H:BRD-K03618428-001-01-3:22.2|CPC006_HEPG2_6H:BRD-K03618428-001-01-3:22.2|CPC006_HT29_24H:BRD-K03618428-001-01-3:22.2|CPC006_HT29_6H:BRD-K03618428-001-01-3:22.2|CPC006_MCF7_24H:BRD-K03618428-001-01-3:22.2|CPC006_PC3_24H:BRD-K03618428-001-01-3:22.2|CPC006_PC3_6H:BRD-K03618428-001-01-3:22.2|CPC006_VCAP_6H:BRD-K03618428-001-01-3:22.2|HOG001_MCF7_6H:BRD-K03618428-001-01-3:0.4111|HOG001_MCF7_6H:BRD-K03618428-001-01-3:1.2333|HOG001_MCF7_24H:BRD-K03618428-001-01-3:0.13704|HOG001_MCF7_24H:BRD-K03618428-001-01-3:1.2333|HOG001_MCF7_24H:BRD-K03618428-001-01-3:3.7|HOG001_MCF7_24H:BRD-K03618428-001-01-3:11.1|HOG001_A549_6H:BRD-K03618428-001-01-3:0.4111|HOG001_A549_6H:BRD-K03618428-001-01-3:3.7|HOG001_A549_6H:BRD-K03618428-001-01-3:11.1|HOG001_A549_24H:BRD-K03618428-001-01-3:0.0152|HOG001_A549_24H:BRD-K03618428-001-01-3:0.4111|HOG001_A549_24H:BRD-K03618428-001-01-3:1.2333|HOG001_A549_24H:BRD-K03618428-001-01-3:3.7|HOG001_A549_24H:BRD-K03618428-001-01-3:11.1|CPC006_A375_24H:BRD-K03618428-001-01-3:22.2|CPC006_A549_6H:BRD-K03618428-001-01-3:22.2|CPC006_MCF7_6H:BRD-K03618428-001-01-3:22.2|CPC006_VCAP_24H:BRD-K03618428-001-01-3:22.2
BRD-K05104363,BRD-K05104363,PD-184352,MEK,trt_cp,24 h|6 h,1 åµM|10 åµM|100 nM|500 nM,98.6433,98.082,81.3197,-666,-666,99.289,97.9976,97.8801,97.1612,95.5904,0,0,-58.4923,-666,5,1,8,19,98|97.9|97.2|95.6|0|99.3|-58.5|0,1.38|1.43|1.32|1.29|0|1.52|-0.9|0,A375|A549|HEPG2|HT29|MCF7|HCC515|VCAP|PC3,6|1|2|3,6|1|2|3|4|5,CPC013_A375_6H:BRD-K05104363-001-02-7:10|CPC013_A549_24H:BRD-K05104363-001-02-7:10|CPC013_HEPG2_6H:BRD-K05104363-001-02-7:10|CPC013_HT29_6H:BRD-K05104363-001-02-7:10|CPC013_MCF7_24H:BRD-K05104363-001-02-7:10|CPC014_A375_6H:BRD-K05104363-001-04-3:10|CPC014_A549_24H:BRD-K05104363-001-04-3:10|CPC014_A549_6H:BRD-K05104363-001-04-3:10|CPC014_HCC515_6H:BRD-K05104363-001-04-3:10|CPC014_HEPG2_6H:BRD-K05104363-001-04-3:10|CPC014_HT29_6H:BRD-K05104363-001-04-3:10|CPC014_VCAP_24H:BRD-K05104363-001-04-3:10|LJP001_MCF7_24H:BRD-K05104363-001-05-0:2|LJP001_MCF7_24H:BRD-K05104363-001-05-0:0.4|LJP001_MCF7_24H:BRD-K05104363-001-05-0:0.08|LJP001_MCF7_6H:BRD-K05104363-001-05-0:2|LJP001_MCF7_6H:BRD-K05104363-001-05-0:0.4|LJP001_MCF7_6H:BRD-K05104363-001-05-0:0.08|CPC013_PC3_6H:BRD-K05104363-001-02-7:10
BRD-K34581968,BRD-K34581968,BMS-536924,IR|IGF1R,trt_cp,24 h|6 h,1 nM|1 åµM|10 nM|10 åµM|100 nM|3 åµM|500 nM,99.2103,98.0242,96.0807,-666,-666,99.5734,98.8471,97.8326,95.8438,93.9114,90.4762,75.0349,-66.9733,-88.7704,7,2,9,38,98.8|95.8|93.9|99.6|90.5|97.8|75|-88.8|-67,1.44|1.34|1.21|1.57|1.13|1.37|0.83|-1.17|-0.98,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,4|1|6|2,4|1|6|2|3|5,CPC006_A375_24H:BRD-K34581968-001-01-2:11.1|CPC006_A375_6H:BRD-K34581968-001-01-2:11.1|CPC006_A549_24H:BRD-K34581968-001-01-2:11.1|CPC006_A549_6H:BRD-K34581968-001-01-2:11.1|CPC006_HA1E_24H:BRD-K34581968-001-01-2:11.1|CPC006_HCC515_24H:BRD-K34581968-001-01-2:11.1|CPC006_HCC515_6H:BRD-K34581968-001-01-2:11.1|CPC006_HEPG2_6H:BRD-K34581968-001-01-2:11.1|CPC006_HT29_24H:BRD-K34581968-001-01-2:11.1|CPC006_HT29_6H:BRD-K34581968-001-01-2:11.1|CPC006_MCF7_24H:BRD-K34581968-001-01-2:11.1|CPC006_MCF7_6H:BRD-K34581968-001-01-2:11.1|CPC006_PC3_24H:BRD-K34581968-001-01-2:11.1|CPC006_PC3_6H:BRD-K34581968-001-01-2:11.1|CPC006_VCAP_6H:BRD-K34581968-001-01-2:11.1|HOG002_MCF7_6H:BRD-K34581968-001-01-2:0.0152|HOG002_MCF7_6H:BRD-K34581968-001-01-2:0.13704|HOG002_MCF7_6H:BRD-K34581968-001-01-2:0.4111|HOG002_MCF7_6H:BRD-K34581968-001-01-2:1.2333|HOG002_MCF7_6H:BRD-K34581968-001-01-2:3.7|HOG002_MCF7_6H:BRD-K34581968-001-01-2:11.1|HOG002_MCF7_24H:BRD-K34581968-001-01-2:0.0152|HOG002_MCF7_24H:BRD-K34581968-001-01-2:0.13704|HOG002_MCF7_24H:BRD-K34581968-001-01-2:0.4111|HOG002_MCF7_24H:BRD-K34581968-001-01-2:1.2333|HOG002_MCF7_24H:BRD-K34581968-001-01-2:3.7|HOG002_MCF7_24H:BRD-K34581968-001-01-2:11.1|HOG002_A549_6H:BRD-K34581968-001-01-2:0.0457|HOG002_A549_6H:BRD-K34581968-001-01-2:1.2333|HOG002_A549_6H:BRD-K34581968-001-01-2:3.7|HOG002_A549_6H:BRD-K34581968-001-01-2:11.1|HOG002_A549_24H:BRD-K34581968-001-01-2:0.005|HOG002_A549_24H:BRD-K34581968-001-01-2:0.4111|HOG002_A549_24H:BRD-K34581968-001-01-2:1.2333|HOG002_A549_24H:BRD-K34581968-001-01-2:3.7|HOG002_A549_24H:BRD-K34581968-001-01-2:11.1|CPC006_HA1E_6H:BRD-K34581968-001-01-2:11.1|CPC006_VCAP_24H:BRD-K34581968-001-01-2:11.1
BRD-M64432851,BRD-M64432851,sunitinib,VEGFR2|PDGFRb|cKit,trt_cp,24 h|6 h,10 åµM,99.3306,97.7181,78.1939,-666,-666,99.7076,98.9537,97.0696,95.1414,78.2912,0,0,-51.7952,-67.4485,5,2,9,13,0|99.7|95.1|-51.8|97.1|99|78.3|-67.4|0,0|1.6|1.24|-0.83|1.31|1.45|0.88|-0.93|0,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,2|6|5|3,2|6|5|3|7|1,CPC014_A375_6H:BRD-M64432851-001-01-9:10|CPC014_A549_6H:BRD-M64432851-001-01-9:10|CPC014_HA1E_6H:BRD-M64432851-001-01-9:10|CPC014_HCC515_6H:BRD-M64432851-001-01-9:10|CPC014_HEPG2_6H:BRD-M64432851-001-01-9:10|CPC014_HT29_6H:BRD-M64432851-001-01-9:10|CPC014_MCF7_24H:BRD-M64432851-001-01-9:10|CPC014_MCF7_6H:BRD-M64432851-001-01-9:10|CPC014_PC3_6H:BRD-M64432851-001-01-9:10|CPC014_VCAP_24H:BRD-M64432851-001-01-9:10|CPC014_VCAP_6H:BRD-M64432851-001-01-9:10|CPC014_A549_24H:BRD-M64432851-001-01-9:10|CPC014_PC3_24H:BRD-M64432851-001-01-9:10
BRD-A50454580,BRD-A50454580,PD-0325901,MEK,trt_cp,24 h|6 h,10 åµM,99.1843,97.4428,93.868,-666,-666,99.5823,98.7864,97.2325,94.1699,92.9746,80.4621,0,0,-94.1665,6,1,9,11,98.8|99.6|97.2|94.2|0|93|80.5|0|-94.2,1.44|1.59|1.32|1.25|0|1.23|0.93|0|-1.28,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,2|1|3|4,2|1|3|4|6|7,CPC014_A375_6H:BRD-A50454580-001-01-1:10|CPC014_A549_24H:BRD-A50454580-001-01-1:10|CPC014_A549_6H:BRD-A50454580-001-01-1:10|CPC014_HA1E_6H:BRD-A50454580-001-01-1:10|CPC014_HCC515_6H:BRD-A50454580-001-01-1:10|CPC014_HEPG2_6H:BRD-A50454580-001-01-1:10|CPC014_HT29_6H:BRD-A50454580-001-01-1:10|CPC014_MCF7_24H:BRD-A50454580-001-01-1:10|CPC014_PC3_6H:BRD-A50454580-001-01-1:10|CPC014_MCF7_6H:BRD-A50454580-001-01-1:10|CPC014_VCAP_6H:BRD-A50454580-001-01-1:10
BRD-K57080016,BRD-K57080016,selumetinib,MEK,trt_cp,24 h|6 h,1 åµM|10 åµM|100 nM|500 nM|80 åµM,98.8543,97.4251,96.3457,-666,-666,99.5023,98.2063,96.2485,95.7435,94.4175,93.956,90.7268,65.8795,-98.2469,8,1,9,25,94.4|90.7|96.2|99.5|94|98.2|95.7|-98.2|65.9,1.23|1.19|1.27|1.52|1.2|1.4|1.25|-1.41|0.81,A375|A549|HA1E|HCC515|HEPG2|HT29|MCF7|PC3|VCAP,4|6|3|7,4|6|3|7|1|5,CPC006_A375_24H:BRD-K57080016-001-04-3:80|CPC006_A375_6H:BRD-K57080016-001-04-3:80|CPC006_A549_24H:BRD-K57080016-001-04-3:80|CPC006_A549_6H:BRD-K57080016-001-04-3:80|CPC006_HA1E_24H:BRD-K57080016-001-04-3:80|CPC006_HCC515_24H:BRD-K57080016-001-04-3:80|CPC006_HCC515_6H:BRD-K57080016-001-04-3:80|CPC006_HEPG2_6H:BRD-K57080016-001-04-3:80|CPC006_HT29_24H:BRD-K57080016-001-04-3:80|CPC006_HT29_6H:BRD-K57080016-001-04-3:80|CPC006_MCF7_24H:BRD-K57080016-001-04-3:80|CPC006_MCF7_6H:BRD-K57080016-001-04-3:80|CPC006_PC3_24H:BRD-K57080016-001-04-3:80|CPC006_PC3_6H:BRD-K57080016-001-04-3:80|CPC006_VCAP_6H:BRD-K57080016-001-04-3:80|ERG011_VCAP_24H:BRD-K57080016-001-09-2:2|ERG011_VCAP_6H:BRD-K57080016-001-09-2:0.4|LJP001_MCF7_24H:BRD-K57080016-001-08-4:10|LJP001_MCF7_24H:BRD-K57080016-001-08-4:2|LJP001_MCF7_24H:BRD-K57080016-001-08-4:0.4|LJP001_MCF7_24H:BRD-K57080016-001-08-4:0.08|LJP001_MCF7_6H:BRD-K57080016-001-08-4:0.4|CPC006_HA1E_6H:BRD-K57080016-001-04-3:80|LJP001_MCF7_6H:BRD-K57080016-001-08-4:10|LJP001_MCF7_6H:BRD-K57080016-001-08-4:2
